%36.draw.vertexCount,%36.draw.instanceCount,%36.draw.firstVertex,%36.draw.firstInstance,%36.draw.aabb
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[0.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[0.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[0.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-6.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[0.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[0.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[2.0000, 1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[0.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-6.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-6.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[0.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 5.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[2.0000, 0.0000, 3.0000, 1.0000]"
7686,1,0,0,"[2.0000, 1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[2.0000, 1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[0.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-6.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, 0.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[2.0000, 1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-6.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 6.0000, -4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-3.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-4.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 4.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[0.0000, 2.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-5.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, 3.0000, -3.0000, 1.0000]"
6144,1,0,0,"[2.0000, 0.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 3.0000, 1.0000]"
24,649,0,0,"[0.0000, 0.0000, 0.0000, 0.0000]"
